pair,signal_bar,float_pct,tp_pct,sl_pct,slip0_return,slip0_mdd,slip0_win,slip10_return,slip10_mdd,slip10_win,slip30_return,slip30_mdd,slip30_win,slip50_return,slip50_mdd,slip50_win,slip100_return,slip100_mdd,slip100_win,pass_50bp
BTC-USDT-SWAP,4H,0.005,0.006,0.02,879.28,11.54,72.24,371.28,20.16,69.69,-100.0,113.16,74.4,-100.0,106.21,34.29,-100.0,107.32,0.0,NO
BTC-USDT-SWAP,6H,0.005,0.01,0.02,1093.82,20.44,67.19,651.82,21.63,63.12,-100.0,103.76,56.18,-100.0,100.1,63.92,-100.0,114.37,0.0,NO
BTC-USDT-SWAP,12H,0.003,0.008,0.02,896.15,12.87,75.75,562.15,14.53,74.55,-100.0,101.22,68.75,-100.0,107.68,77.65,-100.0,113.62,0.0,NO
BTC-USDT-SWAP,1D,0.005,0.006,0.02,428.01,13.26,88.96,265.01,18.8,88.96,-60.99,94.7,87.73,-100.0,114.97,41.43,-100.0,102.65,0.0,NO
ETH-USDT-SWAP,4H,0.004,0.006,0.02,2134.86,11.81,84.38,1308.86,16.92,81.96,-100.0,103.07,78.57,-100.0,101.53,42.31,-100.0,100.09,0.0,NO
ETH-USDT-SWAP,6H,0.005,0.01,0.015,2157.59,15.83,75.3,1578.59,18.59,72.54,420.59,36.05,69.26,-100.0,102.45,58.0,-100.0,112.29,0.0,NO
ETH-USDT-SWAP,12H,0.004,0.008,0.02,1380.14,11.64,87.99,1047.14,13.38,86.79,381.14,29.67,84.98,-100.0,116.16,86.09,-100.0,110.54,0.0,NO
SOL-USDT-SWAP,4H,0.005,0.006,0.02,1822.91,14.41,84.35,1055.91,17.96,82.92,-100.0,100.44,82.48,-100.0,100.34,38.46,-100.0,103.25,0.0,NO
SOL-USDT-SWAP,6H,0.004,0.015,0.02,2693.65,21.76,66.01,2034.65,28.31,63.73,716.65,44.61,58.57,-100.0,100.09,59.14,-100.0,116.43,68.42,NO
SOL-USDT-SWAP,12H,0.004,0.01,0.02,1485.29,13.01,80.53,1110.29,17.18,79.47,360.29,58.71,78.13,-100.0,100.81,78.57,-100.0,111.69,0.0,NO
